,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20
0,1,878.8235294,0.833333333,821.4285714,620.8358062000001,5.181818182,0.833973702,197.5001866,79.84141070315559,58.63254762,9.433609234,40.03336113,10.0,2.0,10.0,1.2127844540000001,1000.0,1.0,0.0,48.09982788
1,2,891.7647059000001,0.13888888900000002,357.14285710000007,614.0922149,3.9090909089999997,0.595187095,197.0168434,253.8960733,58.63254762,10.14461218,-52.92037597142604,5.666666667,1.0,7.6,1.004907423,992.55,0.0,0.0,104.0189329
2,3,955.2941176,0.055555556,119.19456546149581,611.5747476,6.3636363639999995,0.918652115,197.66005080000002,22.08666116,51.83460455003717,0.583493644,132.08564801023027,6.0,1.0,6.0,1.157114762,810.1249010815645,1.0,1.0,120.58691909999999
3,4,831.7647059,0.111111111,250.0,617.7406168,6.545454545,2.3839241330000003,200.5262879,9.139057702070886,48.53936492,7.209403623069477,88.81920143610483,11.089147727705722,3.0,11.865819113182015,2.3508575080000003,824.1989207303609,0.0,1.0,168.5920826
4,5,957.6470588,0.166666667,119.58261471557284,623.4268017,15.127501078608084,0.71123995,197.1514581,5.013667806,49.37974795,0.255711585,125.55171599769295,13.33333333,1.0,13.33333333,1.171550667,782.8879227998361,0.0,1.0,109.2048193
5,6,890.5882353000001,0.13888888900000002,107.1428571,611.5747476,10.90909091,0.68140505,197.15032040000003,5.93341062,52.36899611971104,12.40651628,150.1251043,8.066666667,1.0,8.666666667000001,1.052984119,985.59,1.0,1.0,112.93287439999999
6,7,923.5294117999999,0.013888889,71.42857143,648.1655576,11.36363636,1.092656211,198.4147154,107.0666193,58.63254762,0.31738727899999997,10.00834028,5.333333333,2.0,5.333333333,1.351082266,790.5596641079633,0.0,0.0,121.7056799
7,8,881.1764706,0.083333333,285.7142857,599.0399311000001,11.36363636,0.720824496,196.4190629,16.99599163,47.89968639,10.87986961,80.06672227,3.333333333,1.0,12.2,1.020725069,929.49,0.0,0.0,112.35628229999999
8,9,960.0,0.333333333,61.624864850950644,612.0789413,11.81818182,0.564360443,196.93244860000001,75.06812514,58.63254762,0.8017840209999999,133.26550885665148,6.666666667,1.0,6.666666667,0.966150243,771.503548247797,1.0,0.0,125.59724609999999
9,10,876.4705882000001,2.403116943314842,274.12897375305306,641.2188884,6.3636363639999995,0.633561084,197.25308710000002,11.75559653,58.63254762,6.212569893597406,218.51542949999998,10.763962186951385,2.0,11.33364385736831,1.01704569,814.3164550383292,0.0,0.0,113.03442340000002
10,11,897.6470588,0.38888888899999996,571.4285714,611.5747476,6.6363636360000005,0.559709593,196.9112949,22.08666116,47.89968639,14.52705138,210.17514599999998,13.33333333,1.0,13.33333333,0.95931523,789.63,0.0,0.0,98.39931153
11,12,829.4117647,1.6666666669999999,142.8571429,648.9586122999999,31.81818182,5.38541959,205.8452803,145.2916706698685,58.63254762,22.12217054,210.17514599999998,26.0,3.0,26.0,4.857854395,369.39,0.0,0.0,107.24440619999999
12,13,988.2352940999999,1.5555555559999998,35.71428571,611.5747476,9.090909091,0.9634850220000001,197.7727191,22.08666116,52.409710689004896,2.515536731,154.9940222711055,10.0,1.0,10.0,1.270362265,767.6132689601013,3.0,1.0,180.42168669999998
13,14,960.0,3.333333333,51.46496700641342,616.8967926,27.27272727,0.6580183270000001,197.13440740000001,230.9666711,58.63254762,5.648523387000001,130.8371043799728,23.33333333,1.0,23.33333333,1.037974462,433.22221629124306,1.0,0.0,345.7487091
14,15,778.8235294,0.9853444440000001,607.1428571,800.1712158,13.63636364,5.806641973,207.269701,48.73535302279254,58.63254762,11.85559295,18.991663670958303,8.666666667000001,2.0,8.666666667000001,5.218049304,1000.0,0.0,0.0,359.50430289999997
15,16,907.0588234999999,0.12222222199999999,607.1428571,649.3525137,11.81818182,0.6372846289999999,200.0262609,71.61095906783032,58.63254762,20.63225209,160.1334445,4.333333333,1.0,4.333333333,1.020725069,1000.0,1.0,0.0,85.47504303
16,17,942.3529412,1.8034634783378962,137.46742476764143,611.5747476,15.462720074204015,1.205902086,198.15446269999998,4.786940508,51.36796359407657,4.674418949286574,129.2546610172481,13.086551155508356,1.0,14.013577316408488,1.401825064,811.5547960817694,1.0,1.0,179.7091222
17,18,937.6470588,2.222222222,178.5714286,622.045521,9.090909091,3.165721669,199.6548593,73.3617655615243,58.63254762,2.971521075,134.69636409433957,60.0,1.0,60.0,3.0794561839999997,578.3706157746651,0.0,0.0,200.5576592
